repository,source_sha,path,requested_scope,coverage_limit,focus,connector_response_ids,source_url
Ye-Luo-0912/context-agent-prototype,12c86283b8d5991e9f17a07f14871dcf39d65066,crates/agent-process/src/frame.rs,full,full returned,bounded incremental frame codec and tests,171,https://github.com/Ye-Luo-0912/context-agent-prototype/blob/12c86283b8d5991e9f17a07f14871dcf39d65066/crates/agent-process/src/frame.rs
Ye-Luo-0912/context-agent-prototype,12c86283b8d5991e9f17a07f14871dcf39d65066,crates/agent-process/src/session.rs,full,full returned,session poison/error boundaries and tests,172,https://github.com/Ye-Luo-0912/context-agent-prototype/blob/12c86283b8d5991e9f17a07f14871dcf39d65066/crates/agent-process/src/session.rs
Ye-Luo-0912/context-agent-prototype,12c86283b8d5991e9f17a07f14871dcf39d65066,crates/agent-process/src/host.rs,1250-1580,partial,"tree kill, poison/reap caller, Windows Job support",179,https://github.com/Ye-Luo-0912/context-agent-prototype/blob/12c86283b8d5991e9f17a07f14871dcf39d65066/crates/agent-process/src/host.rs
Ye-Luo-0912/context-agent-prototype,12c86283b8d5991e9f17a07f14871dcf39d65066,crates/agent-capability-process/src/mcp.rs,1-340;341-680;681-1020,partial; production path and beginning of tests,request write/read cancellation; lazy connect; bounded wire; adapter teardown,174;175;177,https://github.com/Ye-Luo-0912/context-agent-prototype/blob/12c86283b8d5991e9f17a07f14871dcf39d65066/crates/agent-capability-process/src/mcp.rs
Ye-Luo-0912/context-agent-prototype,12c86283b8d5991e9f17a07f14871dcf39d65066,crates/agent-core/src/operation.rs,1-330;560-820,partial,append error fencing vs explicit compaction and registry authority,187;188,https://github.com/Ye-Luo-0912/context-agent-prototype/blob/12c86283b8d5991e9f17a07f14871dcf39d65066/crates/agent-core/src/operation.rs
Ye-Luo-0912/context-agent-prototype,12c86283b8d5991e9f17a07f14871dcf39d65066,crates/agent-core/src/kernel/mod.rs,1-285,partial,"journal recovery, epoch and compaction forwarding",190,https://github.com/Ye-Luo-0912/context-agent-prototype/blob/12c86283b8d5991e9f17a07f14871dcf39d65066/crates/agent-core/src/kernel/mod.rs
Ye-Luo-0912/context-agent-prototype,12c86283b8d5991e9f17a07f14871dcf39d65066,crates/context-simple/src/index/dependency.rs,full,full returned,pre-sort candidate truncation,191,https://github.com/Ye-Luo-0912/context-agent-prototype/blob/12c86283b8d5991e9f17a07f14871dcf39d65066/crates/context-simple/src/index/dependency.rs
Ye-Luo-0912/context-agent-prototype,12c86283b8d5991e9f17a07f14871dcf39d65066,crates/context-simple/src/index/indexes.rs,1-195,partial,creation order vs swap_remove mutations,192,https://github.com/Ye-Luo-0912/context-agent-prototype/blob/12c86283b8d5991e9f17a07f14871dcf39d65066/crates/context-simple/src/index/indexes.rs
Ye-Luo-0912/context-agent-prototype,12c86283b8d5991e9f17a07f14871dcf39d65066,crates/context-simple/src/materializer.rs,320-435,partial,dependency body expansion restriction; old selection issue remains visible,194,https://github.com/Ye-Luo-0912/context-agent-prototype/blob/12c86283b8d5991e9f17a07f14871dcf39d65066/crates/context-simple/src/materializer.rs
Ye-Luo-0912/context-agent-prototype,12c86283b8d5991e9f17a07f14871dcf39d65066,crates/tool-runtime/src/tools/process.rs,900-1135,partial,"host-trusted process registration bypass, EOF wait and guard disarm",204,https://github.com/Ye-Luo-0912/context-agent-prototype/blob/12c86283b8d5991e9f17a07f14871dcf39d65066/crates/tool-runtime/src/tools/process.rs
Ye-Luo-0912/context-agent-prototype,12c86283b8d5991e9f17a07f14871dcf39d65066,crates/tool-runtime/src/proof_runner.rs,105-180,partial,host proof runner enables host_trusted with no effect context,205,https://github.com/Ye-Luo-0912/context-agent-prototype/blob/12c86283b8d5991e9f17a07f14871dcf39d65066/crates/tool-runtime/src/proof_runner.rs
Ye-Luo-0912/context-agent-prototype,12c86283b8d5991e9f17a07f14871dcf39d65066,scripts/dist.sh,full,full returned; exact 1210-byte local copy matches git blob SHA-1,target/output paths and stale artifact packaging,182,https://github.com/Ye-Luo-0912/context-agent-prototype/blob/12c86283b8d5991e9f17a07f14871dcf39d65066/scripts/dist.sh
Ye-Luo-0912/context-agent-prototype,12c86283b8d5991e9f17a07f14871dcf39d65066,scripts/dist.ps1,full,full returned; not executed on Windows,target/output paths and native exit-code handling,183,https://github.com/Ye-Luo-0912/context-agent-prototype/blob/12c86283b8d5991e9f17a07f14871dcf39d65066/scripts/dist.ps1
Ye-Luo-0912/context-agent-prototype,12c86283b8d5991e9f17a07f14871dcf39d65066,scripts/doc_consistency.py,full,full returned; not run against an unavailable checkout,actual limits of document consistency checks,185,https://github.com/Ye-Luo-0912/context-agent-prototype/blob/12c86283b8d5991e9f17a07f14871dcf39d65066/scripts/doc_consistency.py
Ye-Luo-0912/context-agent-prototype,12c86283b8d5991e9f17a07f14871dcf39d65066,INSTALL.md,full,full returned,installation/upgrade assertions; no inherited test claims,184,https://github.com/Ye-Luo-0912/context-agent-prototype/blob/12c86283b8d5991e9f17a07f14871dcf39d65066/INSTALL.md
Ye-Luo-0912/context-agent-prototype,12c86283b8d5991e9f17a07f14871dcf39d65066,docs/RECOVERY_RUNBOOK.md,full,full returned,"resume, proof/cancel, lag resync and operational claims",198,https://github.com/Ye-Luo-0912/context-agent-prototype/blob/12c86283b8d5991e9f17a07f14871dcf39d65066/docs/RECOVERY_RUNBOOK.md
Ye-Luo-0912/context-agent-prototype,12c86283b8d5991e9f17a07f14871dcf39d65066,docs/COMPATIBILITY.md,full,full returned,declared compatibility; not complete consumer conformance verification,199,https://github.com/Ye-Luo-0912/context-agent-prototype/blob/12c86283b8d5991e9f17a07f14871dcf39d65066/docs/COMPATIBILITY.md
Ye-Luo-0912/context-agent-prototype,12c86283b8d5991e9f17a07f14871dcf39d65066,docs/CURRENT.md,full,full returned,current/pending statements compared to checked-in files,200,https://github.com/Ye-Luo-0912/context-agent-prototype/blob/12c86283b8d5991e9f17a07f14871dcf39d65066/docs/CURRENT.md
Ye-Luo-0912/context-agent-prototype,12c86283b8d5991e9f17a07f14871dcf39d65066,docs/EXECUTION_MODEL.md,full,full returned,task/runtime authority and durability framing,203,https://github.com/Ye-Luo-0912/context-agent-prototype/blob/12c86283b8d5991e9f17a07f14871dcf39d65066/docs/EXECUTION_MODEL.md
